year,"disaster type","Country iso, Country name",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
2008,"Transport accident",MMR,Myanmar,1,38,44,0,0,44,0
2008,"Transport accident",PHL,Philippines,3,913,171,0,0,171,0
2008,"Transport accident",THA,Thailand,2,32,0,27,0,27,0
2008,"Transport accident",VNM,"Viet Nam",2,25,0,18,0,18,0
2008,"Volcanic activity",IDN,Indonesia,1,0,600,0,0,600,0
2009,Earthquake,IDN,Indonesia,5,1330,2846745,3619,0,2850364,2381000
2009,Earthquake,PHL,Philippines,1,0,380,2,10,392,90
2009,Flood,IDN,Indonesia,5,126,26800,4,0,26804,0
2009,Flood,LAO,"Lao P Dem Rep",1,10,0,0,0,0,0
2009,Flood,MYS,Malaysia,2,0,10875,0,0,10875,0
2009,Flood,PHL,Philippines,8,55,1083261,15,0,1083276,29314
2009,Flood,THA,Thailand,1,15,200000,0,0,200000,0
2009,Flood,VNM,"Viet Nam",2,37,740000,0,0,740000,0
2009,"Industrial accident",IDN,Indonesia,1,41,0,0,0,0,0
2009,Landslide,IDN,Indonesia,2,29,5,0,0,5,0
2009,Landslide,MMR,Myanmar,1,24,1351,0,0,1351,0
2009,Landslide,PHL,Philippines,1,10,0,16,0,16,0
2009,Landslide,VNM,"Viet Nam",1,13,0,1,0,1,0
2009,"Miscellaneous accident",IDN,Indonesia,2,45,0,13,0,13,0
2009,"Miscellaneous accident",THA,Thailand,1,66,0,200,0,200,0
2009,Storm,KHM,Cambodia,2,19,178000,91,0,178091,0
2009,Storm,LAO,"Lao P Dem Rep",1,16,128796,91,0,128887,100000
2009,Storm,PHL,Philippines,14,1242,12220696,867,100,12221663,932703
2009,Storm,VNM,"Viet Nam",3,306,2867820,1005,108635,2977460,1065200
2009,"Transport accident",KHM,Cambodia,1,27,13,0,0,13,0
2009,"Transport accident",IDN,Indonesia,6,456,279,15,0,294,0
2009,"Transport accident",MMR,Myanmar,1,50,0,0,0,0,0
2009,"Transport accident",PHL,Philippines,4,99,957,0,0,957,0
2009,"Transport accident",THA,Thailand,1,17,0,59,0,59,0
2009,"Transport accident",VNM,"Viet Nam",2,54,36,15,0,51,0
2009,"Volcanic activity",PHL,Philippines,1,0,47137,0,0,47137,0
2010,Drought,THA,Thailand,1,0,6482602,0,0,6482602,0
2010,Earthquake,IDN,Indonesia,2,547,11452,412,4600,16464,0
2010,Epidemic,PHL,Philippines,1,737,0,123939,0,123939,0
2010,Epidemic,THA,Thailand,1,2,880,0,0,880,0
2010,Flood,KHM,Cambodia,1,8,0,0,0,0,70000
2010,Flood,IDN,Indonesia,7,411,52936,3424,230,56590,78000
2010,Flood,PHL,Philippines,9,162,2846913,22,0,2846935,50589
2010,Flood,THA,Thailand,1,258,8970653,0,0,8970653,332000
2010,Flood,VNM,"Viet Nam",4,186,1489750,83,0,1489833,660200
2010,"Industrial accident",MMR,Myanmar,1,14,0,58,0,58,0
2010,Landslide,IDN,Indonesia,1,13,0,18,0,18,0
2010,Landslide,MMR,Myanmar,1,68,145000,0,0,145000,0
2010,Landslide,PHL,Philippines,1,2,925,2,0,927,78
2010,"Miscellaneous accident",KHM,Cambodia,2,358,0,388,0,388,0
2010,"Miscellaneous accident",IDN,Indonesia,1,12,0,25,0,25,0
2010,"Miscellaneous accident",PHL,Philippines,2,15,0,0,2000,2000,0
2010,"Miscellaneous accident",THA,Thailand,1,0,0,0,300,300,0
2010,Storm,MMR,Myanmar,1,45,260000,49,0,260049,57000
2010,Storm,PHL,Philippines,3,212,2595412,133,0,2595545,284420
2010,Storm,VNM,"Viet Nam",3,35,32960,20,1620,34600,44500
2010,"Transport accident",IDN,Indonesia,3,68,122,30,0,152,0
2010,"Transport accident",MYS,Malaysia,1,26,0,11,0,11,0
2010,"Transport accident",MMR,Myanmar,1,22,0,0,0,0,0
2010,"Transport accident",PHL,Philippines,4,77,14,20,0,34,0
2010,"Transport accident",VNM,"Viet Nam",2,64,12,0,0,12,0
2010,"Volcanic activity",IDN,Indonesia,2,323,151745,455,0,152200,0
2010,"Volcanic activity",PHL,Philippines,1,0,14161,0,0,14161,0
2011,Drought,THA,Thailand,1,0,0,0,0,0,0
2011,Earthquake,IDN,Indonesia,2,11,0,0,95,95,5850
2011,Earthquake,MMR,Myanmar,1,74,18000,125,3152,21277,3600
2011,Earthquake,PHL,Philippines,1,0,25,3,0,28,0
2011,Earthquake,THA,Thailand,1,1,0,16,0,16,0
2011,Epidemic,PHL,Philippines,3,56,7395,200,0,7595,0
2011,Epidemic,THA,Thailand,1,27,37728,0,0,37728,0
2011,Flood,KHM,Cambodia,1,247,1640000,23,0,1640023,521000
2011,Flood,IDN,Indonesia,6,62,15864,0,4000,19864,0
2011,Flood,LAO,"Lao P Dem Rep",2,48,467000,0,0,467000,0
2011,Flood,MYS,Malaysia,1,2,20000,0,0,20000,0
2011,Flood,MMR,Myanmar,1,151,35734,0,0,35734,1700
2011,Flood,PHL,Philippines,15,122,2218638,190,0,2218828,202787
2011,Flood,THA,Thailand,2,877,10216110,0,0,10216110,40317000
2011,Flood,VNM,"Viet Nam",3,122,1361570,14,0,1361584,219002
2011,"Industrial accident",VNM,"Viet Nam",2,35,0,21,0,21,0
2011,Landslide,IDN,Indonesia,2,53,0,4,0,4,0
2011,Landslide,MYS,Malaysia,1,16,0,6,0,6,0
