year,"Country iso, Country name",occurrence,disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage,
2003,VNM,Viet Nam,Miscellaneous accident,1,37,0,55,0,55,0
2003,VNM,Viet Nam,Storm,1,0,0,18,5000,5018,0
2003,VNM,Viet Nam,Transport accident,1,14,0,6,0,6,0
2004,VNM,Viet Nam,Epidemic,1,42,51,0,0,51,0
2004,VNM,Viet Nam,Flood,3,96,35000,18,0,35018,8000
2004,VNM,Viet Nam,Industrial accident,1,0,0,400,0,400,0
2004,VNM,Viet Nam,Landslide,1,23,0,0,0,0,0
2004,VNM,Viet Nam,Storm,2,70,500900,5,0,500905,30000
2004,VNM,Viet Nam,Transport accident,1,50,0,0,0,0,0
2005,VNM,Viet Nam,Drought,1,0,410000,0,0,410000,42120
2005,VNM,Viet Nam,Epidemic,1,16,83,0,0,83,0
2005,VNM,Viet Nam,Flood,5,192,74185,3,18205,92393,54000
2005,VNM,Viet Nam,Storm,4,116,367632,28,0,367660,250250
2005,VNM,Viet Nam,Transport accident,5,94,1,84,0,85,0
2006,VNM,Viet Nam,Flood,5,178,50000,120,2000,52120,9000
2006,VNM,Viet Nam,Storm,6,401,2944720,1890,350680,3297290,1090000
2006,VNM,Viet Nam,Transport accident,1,19,0,0,0,0,0
2007,VNM,Viet Nam,Epidemic,1,27,0,0,0,0,0
2007,VNM,Viet Nam,Flood,5,230,962000,172,0,962172,790000
2007,VNM,Viet Nam,Industrial accident,2,82,0,80,0,80,2000
2007,VNM,Viet Nam,Storm,1,96,637755,150,47525,685430,191000
2007,VNM,Viet Nam,Transport accident,1,13,0,24,0,24,0
2008,VNM,Viet Nam,Flood,5,157,632500,4,0,632504,483000
2008,VNM,Viet Nam,Storm,5,254,143830,159,12660,156649,190500
2008,VNM,Viet Nam,Transport accident,2,25,0,18,0,18,0
2009,VNM,Viet Nam,Flood,2,37,740000,0,0,740000,0
2009,VNM,Viet Nam,Landslide,1,13,0,1,0,1,0
2009,VNM,Viet Nam,Storm,3,306,2867820,1005,108635,2977460,1065200
2009,VNM,Viet Nam,Transport accident,2,54,36,15,0,51,0
2010,VNM,Viet Nam,Flood,4,186,1489750,83,0,1489833,660200
2010,VNM,Viet Nam,Storm,3,35,32960,20,1620,34600,44500
2010,VNM,Viet Nam,Transport accident,2,64,12,0,0,12,0
2011,VNM,Viet Nam,Flood,3,122,1361570,14,0,1361584,219002
2011,VNM,Viet Nam,Industrial accident,2,35,0,21,0,21,0
2011,VNM,Viet Nam,Storm,2,16,0,63,0,63,0
