occurrence,year,"Country iso, Country name",disaster type,Total deaths,Affected,Injured,Homeless,Total affected,Total damage ('000 US$)
Malaysia,2003,MYS,Epidemic,1,2,3,0,0,0
Malaysia,2003,MYS,Flood,3,8,18800,0,0,0
Malaysia,2004,MYS,Earthquake,1,80,0,767,4296,500000
Malaysia,2004,MYS,Flood,3,16,16038,0,15000,10000
Malaysia,2004,MYS,Storm,2,1,41000,0,0,0
Malaysia,2005,MYS,Flood,2,13,30600,0,0,0
Malaysia,2005,MYS,Wildfire,1,0,0,0,0,0
Malaysia,2006,MYS,Flood,4,6,106518,0,0,22000
Malaysia,2007,MYS,Epidemic,1,56,0,0,0,0
Malaysia,2007,MYS,Flood,2,46,137533,0,29000,968000
Malaysia,2008,MYS,Flood,2,0,8000,0,0,0
Malaysia,2009,MYS,Flood,2,0,10875,0,0,0
Malaysia,2010,MYS,Transport accident,1,26,0,11,0,0
Malaysia,2011,MYS,Flood,1,2,20000,0,0,0
Malaysia,2011,MYS,Landslide,1,16,0,6,0,0
Malaysia,2013,MYS,Flood,1,4,75000,0,0,0
Malaysia,2013,MYS,Transport accident,3,100,191,16,0,0
Malaysia,2014,MYS,Drought,1,0,2200000,0,0,0
Malaysia,2014,MYS,Flood,1,17,230000,0,0,284000
Malaysia,2014,MYS,Transport accident,5,270,0,0,0,0
Myanmar,2001,MMR,Flood,1,51,0,0,3750,0
Myanmar,2001,MMR,Transport accident,1,16,0,13,0,0
Myanmar,2002,MMR,Flood,1,21,50000,0,0,0
Myanmar,2004,MMR,Earthquake,1,71,12500,0,3200,500000
Myanmar,2004,MMR,Miscellaneous accident,1,30,0,30,0,0
Myanmar,2004,MMR,Storm,1,236,0,0,25000,688
Myanmar,2005,MMR,Landslide,1,17,0,16,0,0
Myanmar,2006,MMR,Flood,1,25,10000,0,0,0
Myanmar,2006,MMR,Storm,1,34,60075,31,0,0
Myanmar,2007,MMR,Epidemic,1,30,0,0,0,0
Myanmar,2007,MMR,Flood,4,5,162317,110,4237,0
Myanmar,2007,MMR,Transport accident,2,51,0,0,0,0
Myanmar,2008,MMR,Storm,1,138366,2400000,20000,0,4000000
Myanmar,2008,MMR,Transport accident,1,38,44,0,0,0
Myanmar,2009,MMR,Landslide,1,24,1351,0,0,0
Myanmar,2009,MMR,Transport accident,1,50,0,0,0,0
Myanmar,2010,MMR,Industrial accident,1,14,0,58,0,0
Myanmar,2010,MMR,Landslide,1,68,145000,0,0,0
Myanmar,2010,MMR,Storm,1,45,260000,49,0,57000
Myanmar,2010,MMR,Transport accident,1,22,0,0,0,0
Myanmar,2011,MMR,Earthquake,1,74,18000,125,3152,3600
Myanmar,2011,MMR,Flood,1,151,35734,0,0,1700
Myanmar,2011,MMR,Miscellaneous accident,1,15,0,65,0,0
Myanmar,2012,MMR,Earthquake,1,38,1255,231,0,1170
Myanmar,2012,MMR,Flood,1,2,85000,0,0,0
Myanmar,2013,MMR,Flood,1,7,73300,0,0,0
Myanmar,2013,MMR,Landslide,1,16,0,0,0,0
Myanmar,2013,MMR,Miscellaneous accident,1,13,0,0,0,0
Myanmar,2013,MMR,Transport accident,4,185,0,49,0,0
Myanmar,2014,MMR,Flood,2,0,40000,0,0,0
Philippines,2000,PHL,Epidemic,1,1,664,0,0,0
Philippines,2000,PHL,Flood,3,55,160393,0,5250,4080
Philippines,2000,PHL,Landslide,1,287,2800,38,0,0
Philippines,2000,PHL,Mass movement (dry),1,11,0,0,0,0
Philippines,2000,PHL,Storm,6,394,6067076,355,120000,83464
Philippines,2000,PHL,Transport accident,5,343,0,47,0,0
Philippines,2000,PHL,Volcanic activity,1,0,68426,0,0,2214
Philippines,2001,PHL,Flood,3,43,91300,0,0,8000
Philippines,2001,PHL,Miscellaneous accident,1,73,0,51,0,0
Philippines,2001,PHL,Storm,6,587,3349957,480,100000,99061
Philippines,2001,PHL,Transport accident,2,35,0,0,0,0
Philippines,2001,PHL,Volcanic activity,2,0,83221,0,0,2580
Philippines,2002,PHL,Drought,1,0,0,0,0,453
Philippines,2002,PHL,Earthquake,1,15,73351,100,0,1714
Philippines,2002,PHL,Flood,4,90,155500,67,0,1842
Philippines,2002,PHL,Storm,6,215,979128,66,3000,13534
Philippines,2002,PHL,Transport accident,7,207,0,76,0,0
Philippines,2003,PHL,Epidemic,1,2,12,0,0,0
Philippines,2003,PHL,Flood,1,0,3500,0,0,0
Philippines,2003,PHL,Landslide,1,255,217934,54,0,7000
Philippines,2003,PHL,Miscellaneous accident,1,37,0,0,0,0
Philippines,2003,PHL,Storm,8,95,383037,21,83203,35302
Philippines,2003,PHL,Transport accident,2,101,203,0,0,0
Philippines,2004,PHL,Epidemic,1,32,98,0,0,0
Philippines,2004,PHL,Flood,3,49,20194,0,1500,0
Philippines,2004,PHL,Landslide,1,8,0,6,0,0
Philippines,2004,PHL,Miscellaneous accident,3,12,0,23,20200,0
Philippines,2004,PHL,Storm,8,1861,3232763,1315,7200,138867
Philippines,2004,PHL,Transport accident,3,168,765,120,0,0
Philippines,2005,PHL,Flood,2,5,193046,0,0,515
Philippines,2005,PHL,Industrial accident,1,24,0,0,0,0
Philippines,2005,PHL,Miscellaneous accident,4,29,0,241,4500,182
Philippines,2005,PHL,Storm,2,34,20011,0,0,2000
Philippines,2005,PHL,Transport accident,1,24,0,9,0,0
Philippines,2006,PHL,Flood,6,36,732509,0,0,14157
Philippines,2006,PHL,Industrial accident,2,0,21000,0,0,0
Philippines,2006,PHL,Landslide,3,1143,14607,44,0,2203
